system,source,target,seed,k,n_shot_actual,macro_f1,accuracy,recall_class_0,recall_class_1,n_eval_clean,adapt_seconds,config_hash
fgm,banglasarc_binary,banglasarc3_binary,7,500,500,0.6953767078837384,0.6968503937007874,0.7870619946091644,0.6112531969309463,762,6.7079126834869385,6970de89ef36b0ad
fgm,banglasarc_binary,banglasarc3_binary,7,1000,1000,0.724401854543701,0.7244094488188977,0.738544474393531,0.710997442455243,762,9.867756366729736,6970de89ef36b0ad
fgm,banglasarc3_binary,ben_sarc_binary,42,0,0,0.6715615579090033,0.6777214202106906,0.5409836065573771,0.8143525741029641,2563,0.0,6970de89ef36b0ad
fgm,banglasarc3_binary,ben_sarc_binary,42,25,24,0.6957918196219433,0.6960593055013656,0.7259953161592506,0.6661466458658346,2563,2.687135934829712,6970de89ef36b0ad
fgm,banglasarc3_binary,ben_sarc_binary,42,50,50,0.7138409444495286,0.7143971907920406,0.6705698672911787,0.7581903276131046,2563,2.8354148864746094,6970de89ef36b0ad
fgm,banglasarc3_binary,ben_sarc_binary,42,100,100,0.7233668383400551,0.723371049551307,0.7275565964090555,0.719188767550702,2563,5.125454664230347,6970de89ef36b0ad
fgm,banglasarc3_binary,ben_sarc_binary,42,250,250,0.7210862395880213,0.7237612173234491,0.8220140515222483,0.625585023400936,2563,5.304859399795532,6970de89ef36b0ad
fgm,banglasarc3_binary,ben_sarc_binary,42,500,500,0.7479147406641404,0.7479516191962544,0.760343481654957,0.7355694227769111,2563,5.593811511993408,6970de89ef36b0ad
fgm,banglasarc3_binary,ben_sarc_binary,42,1000,1000,0.7581745612570984,0.758486149044089,0.7946916471506635,0.7223088923556942,2563,6.935547351837158,6970de89ef36b0ad
fgm,banglasarc3_binary,banglasarc_binary,42,0,0,0.6000106058597375,0.6032110091743119,0.5592592592592592,0.6746987951807228,436,0.0,6970de89ef36b0ad
fgm,banglasarc3_binary,banglasarc_binary,42,25,25,0.7391130908849146,0.7522935779816514,0.7888888888888889,0.6927710843373494,436,3.1366400718688965,6970de89ef36b0ad
fgm,banglasarc3_binary,banglasarc_binary,42,50,50,0.7169421364543316,0.75,0.8814814814814815,0.536144578313253,436,4.044647216796875,6970de89ef36b0ad
fgm,banglasarc3_binary,banglasarc_binary,42,100,100,0.8955467526896099,0.9013761467889908,0.9185185185185185,0.8734939759036144,436,5.02799391746521,6970de89ef36b0ad
fgm,banglasarc3_binary,banglasarc_binary,42,250,250,0.9216162160947436,0.926605504587156,0.9518518518518518,0.8855421686746988,436,4.290982007980347,6970de89ef36b0ad
fgm,banglasarc3_binary,banglasarc_binary,42,500,500,0.9438669555044306,0.9472477064220184,0.9629629629629629,0.9216867469879518,436,8.259939908981323,6970de89ef36b0ad
fgm,banglasarc3_binary,banglasarc_binary,42,1000,1000,0.9587045301331016,0.9610091743119266,0.9666666666666667,0.9518072289156626,436,8.868807077407837,6970de89ef36b0ad
fgm,banglasarc3_binary,ben_sarc_binary,1,0,0,0.6733434632594297,0.6742099102614124,0.6229508196721312,0.7254290171606864,2563,0.0,6970de89ef36b0ad
fgm,banglasarc3_binary,ben_sarc_binary,1,25,24,0.7048659852605721,0.7050331642606321,0.6814988290398126,0.7285491419656787,2563,3.6472299098968506,6970de89ef36b0ad
fgm,banglasarc3_binary,ben_sarc_binary,1,50,50,0.7255409205935895,0.7257120561841592,0.7010148321623731,0.750390015600624,2563,3.9995808601379395,6970de89ef36b0ad
fgm,banglasarc3_binary,ben_sarc_binary,1,100,100,0.7060473360442081,0.7081545064377682,0.7931303669008587,0.6232449297971919,2563,4.889681816101074,6970de89ef36b0ad
fgm,banglasarc3_binary,ben_sarc_binary,1,250,250,0.7248675139968284,0.7257120561841592,0.7814207650273224,0.6700468018720749,2563,4.147765636444092,6970de89ef36b0ad
fgm,banglasarc3_binary,ben_sarc_binary,1,500,500,0.7523075093897859,0.7526336324619587,0.7892271662763466,0.7160686427457098,2563,9.143964767456055,6970de89ef36b0ad
fgm,banglasarc3_binary,ben_sarc_binary,1,1000,1000,0.7612091443965543,0.7612173234490831,0.7673692427790788,0.7550702028081123,2563,17.087316274642944,6970de89ef36b0ad
fgm,banglasarc3_binary,banglasarc_binary,1,0,0,0.6489476101699495,0.658256880733945,0.662962962962963,0.6506024096385542,436,0.0,6970de89ef36b0ad
fgm,banglasarc3_binary,banglasarc_binary,1,25,25,0.7738938541321858,0.7844036697247706,0.8074074074074075,0.7469879518072289,436,6.351331472396851,6970de89ef36b0ad
fgm,banglasarc3_binary,banglasarc_binary,1,50,50,0.8018181818181818,0.8211009174311926,0.9148148148148149,0.6686746987951807,436,8.445419788360596,6970de89ef36b0ad
