system,protocol,source,held_out_corpus,target,seed,held_out,n_removed_all_source,n_eval_clean,epochs_budget,best_epoch,val_macro_f1,test_macro_f1,test_accuracy,test_recall_class_1,temperature,ece,train_seconds,prediction_path
dann_matched,loco,banglasarc_binary+ben_sarc_binary,banglasarc3_binary,banglasarc_binary,1,False,0,464,8,1,0.7920962199312716,0.8058440489903382,0.8081896551724138,0.9759036144578314,0.9510935251987315,0.08173849462587046,148.6916172504425,04_outputs/predictions/20_dann_matched/20_dannmatched_banglasarc_binary+ben_sarc_binary_seed1_to_banglasarc_binary.csv
dann_matched,loco,banglasarc_binary+ben_sarc_binary,banglasarc3_binary,banglasarc3_binary,1,True,29,762,8,1,0.7920962199312716,0.6286832046558887,0.6299212598425197,0.670076726342711,0.9510935251987315,0.13451074984515632,148.6916172504425,04_outputs/predictions/20_dann_matched/20_dannmatched_banglasarc_binary+ben_sarc_binary_seed1_to_banglasarc3_binary.csv
dann_matched,loco,banglasarc_binary+ben_sarc_binary,banglasarc3_binary,ben_sarc_binary,7,False,0,2563,8,1,0.8005073292496617,0.7963098181552439,0.796332422941865,0.8065522620904836,0.8002438179317114,0.04387029890490825,148.09749221801758,04_outputs/predictions/20_dann_matched/20_dannmatched_banglasarc_binary+ben_sarc_binary_seed7_to_ben_sarc_binary.csv
dann_matched,loco,banglasarc_binary+ben_sarc_binary,banglasarc3_binary,banglasarc_binary,7,False,0,464,8,1,0.8005073292496617,0.8505894622508663,0.8556034482758621,0.9397590361445783,0.8002438179317114,0.0466650300093119,148.09749221801758,04_outputs/predictions/20_dann_matched/20_dannmatched_banglasarc_binary+ben_sarc_binary_seed7_to_banglasarc_binary.csv
dann_matched,loco,banglasarc_binary+ben_sarc_binary,banglasarc3_binary,banglasarc3_binary,7,True,29,762,8,1,0.8005073292496617,0.6181095785189867,0.6181102362204725,0.6010230179028133,0.8002438179317114,0.12060767277406974,148.09749221801758,04_outputs/predictions/20_dann_matched/20_dannmatched_banglasarc_binary+ben_sarc_binary_seed7_to_banglasarc3_binary.csv
dann_matched,loco,banglasarc_binary+ben_sarc_binary,banglasarc3_binary,ben_sarc_binary,123,False,0,2563,8,4,0.8087082537382254,0.7822704059805554,0.7830667186890363,0.7223088923556942,2.09093149036981,0.1212577121109556,292.8343725204468,04_outputs/predictions/20_dann_matched/20_dannmatched_banglasarc_binary+ben_sarc_binary_seed123_to_ben_sarc_binary.csv
dann_matched,loco,banglasarc_binary+ben_sarc_binary,banglasarc3_binary,banglasarc_binary,123,False,0,464,8,4,0.8087082537382254,0.8954033127511516,0.9008620689655172,0.9397590361445783,2.09093149036981,0.06342089595856953,292.8343725204468,04_outputs/predictions/20_dann_matched/20_dannmatched_banglasarc_binary+ben_sarc_binary_seed123_to_banglasarc_binary.csv
dann_matched,loco,banglasarc_binary+ben_sarc_binary,banglasarc3_binary,banglasarc3_binary,123,True,29,762,8,4,0.8087082537382254,0.6402924315821928,0.6443569553805775,0.5242966751918159,2.09093149036981,0.2609722006719738,292.8343725204468,04_outputs/predictions/20_dann_matched/20_dannmatched_banglasarc_binary+ben_sarc_binary_seed123_to_banglasarc3_binary.csv
dann_matched,loco,banglasarc_binary+ben_sarc_binary,banglasarc3_binary,ben_sarc_binary,2024,False,0,2563,8,2,0.8095238095238095,0.8017727732238773,0.8017947717518533,0.8120124804992199,1.1325527003769706,0.02009299354918128,203.32337760925293,04_outputs/predictions/20_dann_matched/20_dannmatched_banglasarc_binary+ben_sarc_binary_seed2024_to_ben_sarc_binary.csv
dann_matched,loco,banglasarc_binary+ben_sarc_binary,banglasarc3_binary,banglasarc_binary,2024,False,0,464,8,2,0.8095238095238095,0.8416694301464405,0.8469827586206896,0.927710843373494,1.1325527003769706,0.07590459051319219,203.32337760925293,04_outputs/predictions/20_dann_matched/20_dannmatched_banglasarc_binary+ben_sarc_binary_seed2024_to_banglasarc_binary.csv
dann_matched,loco,banglasarc_binary+ben_sarc_binary,banglasarc3_binary,banglasarc3_binary,2024,True,29,762,8,2,0.8095238095238095,0.6364773050195045,0.636482939632546,0.6240409207161125,1.1325527003769706,0.16743139304466254,203.32337760925293,04_outputs/predictions/20_dann_matched/20_dannmatched_banglasarc_binary+ben_sarc_binary_seed2024_to_banglasarc3_binary.csv
